Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA10,MA20,MA60,MA120,MA240
1980-12-12,0.51,0.52,0.51,0.51,0.41,117258400,,,,,,
1980-12-15,0.49,0.49,0.49,0.49,0.38,43971200,,,,,,
1980-12-16,0.45,0.45,0.45,0.45,0.36,26432000,,,,,,
1980-12-17,0.46,0.46,0.46,0.46,0.37,21610400,,,,,,
1980-12-18,0.48,0.48,0.48,0.48,0.38,18362400,0.4779999999999999,,,,,
1980-12-19,0.5,0.51,0.5,0.5,0.4,12157600,0.476,,,,,
1980-12-22,0.53,0.53,0.53,0.53,0.42,9340800,0.484,,,,,
1980-12-23,0.55,0.55,0.55,0.55,0.44,11737600,0.5039999999999999,,,,,
1980-12-24,0.58,0.58,0.58,0.58,0.46,12000800,0.5279999999999999,,,,,
1980-12-26,0.63,0.64,0.63,0.63,0.5,13893600,0.5579999999999999,0.518,,,,
1980-12-29,0.64,0.65,0.64,0.64,0.51,23290400,0.586,0.5309999999999999,,,,
1980-12-30,0.63,0.63,0.63,0.63,0.5,17220000,0.6059999999999999,0.5449999999999999,,,,
1980-12-31,0.61,0.61,0.61,0.61,0.48,8937600,0.6179999999999998,0.5609999999999999,,,,
1981-01-02,0.62,0.62,0.62,0.62,0.49,5415200,0.6259999999999998,0.577,,,,
1981-01-05,0.6,0.6,0.6,0.6,0.48,8932000,0.6199999999999999,0.5889999999999999,,,,
1981-01-06,0.58,0.58,0.58,0.58,0.46,11289600,0.6079999999999999,0.5969999999999999,,,,
1981-01-07,0.55,0.55,0.55,0.55,0.44,13921600,0.5919999999999999,0.5989999999999999,,,,
1981-01-08,0.54,0.54,0.54,0.54,0.43,9956800,0.5779999999999998,0.5979999999999999,,,,
1981-01-09,0.57,0.57,0.57,0.57,0.45,5376000,0.5679999999999998,0.5969999999999999,,,,
1981-01-12,0.57,0.57,0.56,0.56,0.45,5924800,0.5599999999999998,0.59,0.554,,,
1981-01-13,0.55,0.55,0.54,0.54,0.43,5762400,0.5519999999999998,0.58,0.5555000000000001,,,
1981-01-14,0.55,0.55,0.55,0.55,0.43,3572800,0.5519999999999998,0.572,0.5585000000000001,,,
1981-01-15,0.56,0.56,0.56,0.56,0.44,3516800,0.5559999999999998,0.567,0.5640000000000002,,,
1981-01-16,0.56,0.56,0.55,0.55,0.44,3348800,0.5519999999999998,0.5599999999999998,0.5685000000000001,,,
1981-01-19,0.59,0.59,0.59,0.59,0.46,10393600,0.5579999999999998,0.5589999999999999,0.5740000000000001,,,
1981-01-20,0.57,0.57,0.57,0.57,0.45,7520800,0.5639999999999998,0.5579999999999999,0.5775000000000001,,,
1981-01-21,0.58,0.58,0.58,0.58,0.46,3976000,0.5699999999999997,0.5609999999999999,0.5800000000000002,,,
1981-01-22,0.59,0.59,0.59,0.59,0.46,8887200,0.5759999999999997,0.566,0.5820000000000001,,,
1981-01-23,0.59,0.59,0.58,0.58,0.46,2805600,0.5819999999999996,0.567,0.5820000000000001,,,
1981-01-26,0.58,0.58,0.58,0.58,0.46,6160000,0.5799999999999997,0.569,0.5795000000000001,,,
1981-01-27,0.58,0.58,0.57,0.57,0.45,5924800,0.5799999999999997,0.572,0.5760000000000001,,,
1981-01-28,0.56,0.56,0.55,0.55,0.44,7039200,0.5739999999999996,0.572,0.5720000000000001,,,
1981-01-29,0.54,0.54,0.53,0.53,0.42,10976000,0.5619999999999997,0.569,0.5680000000000001,,,
1981-01-30,0.51,0.51,0.5,0.5,0.4,11547200,0.5459999999999997,0.564,0.562,,,
1981-02-02,0.48,0.48,0.48,0.48,0.38,5941600,0.5259999999999997,0.5529999999999999,0.5560000000000002,,,
1981-02-03,0.49,0.5,0.49,0.49,0.39,4788000,0.5099999999999997,0.5449999999999999,0.5515000000000001,,,
1981-02-04,0.51,0.51,0.51,0.51,0.4,6966400,0.5019999999999998,0.5379999999999999,0.5495000000000001,,,
1981-02-05,0.51,0.52,0.51,0.51,0.4,1982400,0.49799999999999967,0.5299999999999999,0.548,,,
1981-02-06,0.51,0.52,0.51,0.51,0.41,3466400,0.49999999999999967,0.5229999999999999,0.545,,,
1981-02-09,0.49,0.49,0.49,0.49,0.38,4188800,0.5019999999999997,0.5139999999999999,0.5415,,,
1981-02-10,0.49,0.49,0.49,0.49,0.38,4586400,0.5019999999999996,0.5059999999999999,0.539,,,
1981-02-11,0.47,0.47,0.47,0.47,0.37,3460800,0.4939999999999996,0.4979999999999999,0.535,,,
1981-02-12,0.47,0.47,0.47,0.47,0.37,3640000,0.4859999999999996,0.4919999999999998,0.5305000000000001,,,
1981-02-13,0.46,0.46,0.46,0.46,0.36,2788800,0.47599999999999965,0.4879999999999998,0.526,,,
1981-02-17,0.47,0.47,0.47,0.47,0.37,3068800,0.47199999999999953,0.48699999999999977,0.5200000000000001,,,
1981-02-18,0.49,0.49,0.49,0.49,0.38,4810400,0.47199999999999953,0.48699999999999977,0.5160000000000001,,,
1981-02-19,0.46,0.46,0.46,0.46,0.36,5577600,0.4699999999999996,0.48199999999999976,0.5100000000000001,,,
1981-02-20,0.44,0.44,0.43,0.43,0.34,6092800,0.4619999999999996,0.47399999999999975,0.5020000000000001,,,
1981-02-23,0.44,0.44,0.44,0.44,0.35,3528000,0.4579999999999996,0.4669999999999998,0.4950000000000001,,,
1981-02-24,0.43,0.43,0.42,0.42,0.34,4244800,0.4479999999999995,0.4599999999999998,0.4870000000000001,,,
1981-02-25,0.45,0.45,0.45,0.45,0.36,4872000,0.4399999999999995,0.4559999999999998,0.48100000000000004,,,
1981-02-26,0.46,0.46,0.46,0.46,0.36,2710400,0.4399999999999995,0.4549999999999998,0.47650000000000003,,,
1981-02-27,0.47,0.48,0.47,0.47,0.37,3690400,0.4479999999999994,0.4549999999999998,0.47350000000000014,,,
1981-03-02,0.48,0.48,0.48,0.48,0.38,2940000,0.4559999999999994,0.45699999999999974,0.47250000000000014,,,
1981-03-03,0.47,0.47,0.47,0.47,0.37,4043200,0.46599999999999947,0.45699999999999974,0.47200000000000014,,,
1981-03-04,0.47,0.47,0.46,0.46,0.37,3427200,0.4679999999999994,0.45399999999999974,0.4705000000000002,,,
1981-03-05,0.46,0.46,0.46,0.46,0.37,1344000,0.4679999999999994,0.45399999999999974,0.46800000000000025,,,
1981-03-06,0.46,0.46,0.46,0.46,0.36,2900800,0.46599999999999947,0.45699999999999974,0.4655000000000003,,,
1981-03-09,0.42,0.42,0.42,0.42,0.33,3830400,0.45399999999999946,0.45499999999999974,0.4610000000000003,,,
1981-03-10,0.4,0.4,0.4,0.4,0.32,7095200,0.4399999999999995,0.45299999999999974,0.4565000000000003,0.5173333333333334,,
1981-03-11,0.39,0.39,0.39,0.39,0.31,7464800,0.42599999999999955,0.44699999999999973,0.45150000000000035,0.5153333333333333,,
1981-03-12,0.4,0.4,0.4,0.4,0.32,14812000,0.41399999999999954,0.4409999999999997,0.4480000000000003,0.5138333333333334,,
1981-03-13,0.4,0.4,0.4,0.4,0.31,57825600,0.4019999999999995,0.43399999999999983,0.4445000000000003,0.513,,
1981-03-16,0.41,0.42,0.41,0.41,0.33,9307200,0.3999999999999996,0.42699999999999977,0.4420000000000003,0.5121666666666667,,
1981-03-17,0.43,0.44,0.43,0.43,0.34,10936800,0.4059999999999996,0.42299999999999977,0.4400000000000002,0.5113333333333333,,
1981-03-18,0.46,0.46,0.46,0.46,0.36,9234400,0.4199999999999996,0.42299999999999977,0.4385000000000002,0.5106666666666667,,
1981-03-19,0.46,0.46,0.46,0.46,0.36,9452800,0.4319999999999996,0.42299999999999977,0.4385000000000002,0.5095,,
1981-03-20,0.46,0.46,0.46,0.46,0.36,3651200,0.4439999999999996,0.42299999999999977,0.4400000000000003,0.508,,
1981-03-23,0.48,0.48,0.48,0.48,0.38,5504800,0.4579999999999996,0.4289999999999997,0.44200000000000034,0.5063333333333334,,
1981-03-24,0.48,0.48,0.48,0.48,0.38,7039200,0.4679999999999995,0.4369999999999997,0.4450000000000004,0.5038333333333334,,
1981-03-25,0.47,0.47,0.47,0.47,0.37,1764000,0.4699999999999996,0.44499999999999973,0.44600000000000045,0.501,,
1981-03-26,0.46,0.46,0.46,0.46,0.36,3068800,0.4699999999999996,0.45099999999999973,0.44600000000000045,0.49816666666666676,,
1981-03-27,0.44,0.44,0.44,0.44,0.35,3063200,0.4659999999999996,0.45499999999999974,0.4445000000000004,0.49533333333333346,,
1981-03-30,0.44,0.45,0.44,0.44,0.35,2475200,0.4579999999999996,0.45799999999999974,0.44250000000000034,0.49233333333333346,,
1981-03-31,0.44,0.44,0.44,0.44,0.35,3998400,0.44999999999999957,0.4589999999999998,0.4410000000000003,0.48966666666666675,,
1981-04-01,0.44,0.44,0.43,0.43,0.34,8517600,0.4419999999999996,0.4559999999999998,0.4395000000000002,0.4871666666666668,,
1981-04-02,0.47,0.47,0.47,0.47,0.37,7851200,0.4439999999999996,0.45699999999999974,0.4400000000000002,0.48583333333333345,,
1981-04-03,0.47,0.48,0.47,0.47,0.37,4121600,0.44999999999999957,0.45799999999999974,0.4405000000000002,0.48466666666666675,,
1981-04-06,0.47,0.47,0.46,0.46,0.37,5700800,0.45399999999999957,0.4559999999999997,0.4425000000000002,0.48283333333333345,,
1981-04-07,0.46,0.46,0.46,0.46,0.36,2671200,0.4579999999999996,0.45399999999999974,0.4455000000000003,0.4811666666666668,,
1981-04-08,0.48,0.49,0.48,0.48,0.38,5488000,0.4679999999999995,0.4549999999999998,0.4500000000000003,0.4801666666666668,,
1981-04-09,0.49,0.49,0.49,0.49,0.39,3124800,0.47199999999999953,0.45799999999999985,0.45450000000000024,0.4791666666666668,,
1981-04-10,0.5,0.5,0.5,0.5,0.39,8366400,0.4779999999999996,0.4639999999999998,0.45950000000000024,0.4781666666666668,,
1981-04-13,0.5,0.5,0.5,0.5,0.39,4015200,0.4859999999999996,0.46999999999999975,0.46400000000000025,0.47733333333333344,,
1981-04-14,0.5,0.5,0.5,0.5,0.39,1663200,0.4939999999999996,0.4759999999999997,0.46750000000000025,0.47583333333333344,,
1981-04-15,0.48,0.48,0.47,0.47,0.37,8512000,0.49199999999999955,0.4799999999999997,0.46800000000000025,0.4741666666666668,,
1981-04-16,0.45,0.45,0.45,0.45,0.35,5969600,0.48399999999999965,0.47799999999999976,0.46750000000000014,0.47200000000000014,,
1981-04-20,0.46,0.46,0.46,0.46,0.36,8836800,0.47599999999999965,0.47699999999999976,0.46750000000000014,0.4698333333333335,,
1981-04-21,0.49,0.49,0.49,0.49,0.39,7134400,0.47399999999999964,0.4799999999999998,0.46800000000000014,0.4683333333333335,,
1981-04-22,0.51,0.51,0.51,0.51,0.4,4748800,0.47599999999999965,0.48499999999999976,0.46950000000000014,0.46716666666666684,,
1981-04-23,0.52,0.52,0.52,0.52,0.41,14504000,0.4859999999999996,0.4889999999999997,0.4720000000000001,0.46633333333333354,,
1981-04-24,0.52,0.52,0.52,0.52,0.41,8764000,0.49999999999999956,0.49199999999999966,0.475,0.4658333333333335,,
1981-04-27,0.52,0.52,0.51,0.51,0.41,9632000,0.5099999999999996,0.4929999999999996,0.47850000000000004,0.4655000000000002,,
1981-04-28,0.51,0.51,0.5,0.5,0.4,8047200,0.5119999999999996,0.4929999999999996,0.48150000000000004,0.4655000000000002,,
1981-04-29,0.5,0.5,0.5,0.5,0.39,3410400,0.5099999999999996,0.4929999999999996,0.48450000000000004,0.4658333333333335,,
1981-04-30,0.51,0.51,0.51,0.51,0.4,3152800,0.5079999999999996,0.4969999999999996,0.48850000000000005,0.4661666666666669,,
1981-05-01,0.51,0.51,0.51,0.51,0.4,4138400,0.5059999999999996,0.5029999999999996,0.49050000000000005,0.4661666666666669,,
1981-05-04,0.51,0.51,0.5,0.5,0.4,3612000,0.5039999999999996,0.5069999999999996,0.492,0.4660000000000002,,
1981-05-05,0.5,0.5,0.5,0.5,0.4,4384800,0.5039999999999996,0.5079999999999996,0.49399999999999994,0.4658333333333335,,
1981-05-06,0.49,0.49,0.49,0.49,0.39,4737600,0.5019999999999996,0.5059999999999996,0.49549999999999994,0.4658333333333335,,
1981-05-07,0.5,0.5,0.5,0.5,0.39,2340800,0.49999999999999967,0.5039999999999996,0.4964999999999999,0.4660000000000002,,
1981-05-08,0.5,0.5,0.5,0.5,0.4,1976800,0.49799999999999967,0.5019999999999996,0.4969999999999999,0.4665000000000002,,
1981-05-11,0.49,0.49,0.49,0.49,0.39,2984800,0.4959999999999997,0.49999999999999967,0.4964999999999999,0.46683333333333354,,
1981-05-12,0.49,0.5,0.49,0.49,0.39,1064000,0.4939999999999998,0.49899999999999967,0.4959999999999999,0.4673333333333335,,
1981-05-13,0.49,0.49,0.49,0.49,0.38,1226400,0.4939999999999998,0.49799999999999967,0.49549999999999994,0.46766666666666684,,
1981-05-14,0.48,0.48,0.48,0.48,0.38,1232000,0.48999999999999977,0.4949999999999998,0.4959999999999999,0.4675000000000002,,
1981-05-15,0.49,0.5,0.49,0.49,0.39,1226400,0.4879999999999997,0.49299999999999977,0.49799999999999994,0.46800000000000014,,
1981-05-18,0.5,0.5,0.5,0.5,0.4,1041600,0.48999999999999966,0.49299999999999977,0.4999999999999999,0.46916666666666684,,
1981-05-19,0.49,0.49,0.49,0.49,0.39,6356000,0.48999999999999966,0.4919999999999998,0.4999999999999999,0.4700000000000001,,
1981-05-20,0.51,0.51,0.51,0.51,0.4,3320800,0.4939999999999996,0.4939999999999998,0.4999999999999999,0.4715000000000001,,
1981-05-21,0.54,0.54,0.54,0.54,0.42,8052800,0.5059999999999996,0.4979999999999998,0.501,0.4730000000000001,,
1981-05-22,0.56,0.56,0.56,0.56,0.44,7856800,0.5199999999999996,0.5039999999999998,0.503,0.47466666666666674,,
1981-05-26,0.56,0.56,0.56,0.56,0.44,21336000,0.5319999999999996,0.5109999999999998,0.5055000000000001,0.47616666666666674,,
1981-05-27,0.59,0.59,0.59,0.59,0.47,37374400,0.5519999999999996,0.5209999999999997,0.51,0.47800000000000004,,
1981-05-28,0.59,0.59,0.59,0.59,0.47,18496800,0.5679999999999996,0.5309999999999997,0.5145000000000001,0.4800000000000001,,
1981-05-29,0.59,0.59,0.59,0.59,0.47,14845600,0.5779999999999996,0.5419999999999996,0.5185000000000001,0.48216666666666674,,
1981-06-01,0.59,0.59,0.59,0.59,0.47,12812800,0.5839999999999995,0.5519999999999996,0.5225000000000001,0.4843333333333334,,
1981-06-02,0.56,0.56,0.56,0.56,0.44,10108000,0.5839999999999995,0.5579999999999996,0.5255000000000001,0.486,,
1981-06-03,0.56,0.57,0.56,0.56,0.44,9861600,0.5779999999999996,0.5649999999999997,0.5285000000000001,0.4883333333333333,,
1981-06-04,0.57,0.58,0.57,0.57,0.45,14016800,0.5739999999999996,0.5709999999999997,0.5325000000000001,0.49116666666666664,0.5042500000000002,
1981-06-05,0.57,0.57,0.56,0.56,0.45,14420000,0.5679999999999996,0.5729999999999997,0.5355000000000001,0.49399999999999994,0.5046666666666668,
1981-06-08,0.55,0.55,0.54,0.54,0.43,23374400,0.5579999999999996,0.5709999999999997,0.5375000000000002,0.4963333333333333,0.5050833333333336,
1981-06-09,0.56,0.56,0.56,0.56,0.44,29898400,0.5579999999999996,0.5709999999999997,0.5410000000000001,0.49899999999999994,0.5060000000000001,
1981-06-10,0.56,0.57,0.56,0.56,0.44,6305600,0.5579999999999996,0.5679999999999998,0.5445000000000002,0.5015,0.5068333333333335,
