Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA10,MA20,MA60,MA120,MA240
2012-05-18,42.05,45.0,38.0,38.23,38.23,573576400,,,,,,
2012-05-21,36.53,36.66,33.0,34.03,34.03,168192700,,,,,,
2012-05-22,32.61,33.59,30.94,31.0,31.0,101786600,,,,,,
2012-05-23,31.37,32.5,31.36,32.0,32.0,73600000,,,,,,
2012-05-24,32.95,33.21,31.77,33.03,33.03,50237200,33.658,,,,,
2012-05-25,32.9,32.95,31.11,31.91,31.91,37149800,32.394,,,,,
2012-05-29,31.48,31.69,28.65,28.84,28.84,78063400,31.356,,,,,
2012-05-30,28.7,29.55,27.86,28.19,28.19,57267900,30.794,,,,,
2012-05-31,28.55,29.67,26.83,29.6,29.6,111639200,30.314,,,,,
2012-06-01,28.89,29.15,27.39,27.72,27.72,41855500,29.252,31.455000000000005,,,,
2012-06-04,27.2,27.65,26.44,26.9,26.9,35230300,28.25,30.322000000000003,,,,
2012-06-05,26.7,27.76,25.75,25.87,25.87,42473400,27.656,29.506000000000007,,,,
2012-06-06,26.07,27.17,25.52,26.81,26.81,61489200,27.380000000000003,29.087000000000007,,,,
2012-06-07,27.0,27.35,26.15,26.31,26.31,26159500,26.722,28.518000000000008,,,,
2012-06-08,26.55,27.76,26.44,27.1,27.1,38034000,26.598000000000003,27.92500000000001,,,,
2012-06-11,27.18,28.07,26.84,27.01,27.01,28219600,26.619999999999997,27.43500000000001,,,,
2012-06-12,27.48,27.77,26.96,27.4,27.4,15816800,26.926,27.291000000000007,,,,
2012-06-13,27.66,28.1,27.1,27.27,27.27,17102800,27.018,27.199000000000005,,,,
2012-06-14,27.65,28.32,27.38,28.29,28.29,16855000,27.413999999999998,27.068000000000005,,,,
2012-06-15,28.51,30.1,28.35,30.01,30.01,43563800,27.996,27.297000000000004,29.375999999999998,,,
2012-06-18,29.96,32.08,29.41,31.41,31.41,42978900,28.875999999999998,27.748000000000008,29.034999999999997,,,
2012-06-19,31.54,32.18,30.7,31.91,31.91,30849000,29.778,28.35200000000001,28.928999999999995,,,
2012-06-20,31.92,31.93,31.15,31.6,31.6,15553600,30.643999999999995,28.83100000000001,28.958999999999996,,,
2012-06-21,31.67,32.5,31.51,31.84,31.84,21875300,31.353999999999996,29.384000000000007,28.951,,,
2012-06-22,32.41,33.45,32.06,33.05,33.05,74834000,31.962,29.979000000000006,28.951999999999998,,,
2012-06-25,32.86,33.02,31.55,32.06,32.06,24352900,32.092,30.48400000000001,28.9595,,,
2012-06-26,32.69,33.44,32.5,33.1,33.1,24858700,32.33,31.054000000000013,29.172499999999996,,,
2012-06-27,32.46,32.9,31.9,32.23,32.23,28568000,32.456,31.55000000000002,29.374499999999994,,,
2012-06-28,31.96,32.19,30.9,31.36,31.36,17713300,32.36,31.857000000000017,29.462499999999995,,,
2012-06-29,31.92,31.99,30.76,31.1,31.1,19526900,31.96999999999999,31.96600000000002,29.631499999999996,,,
2012-07-02,31.25,31.73,30.55,30.77,30.77,14122000,31.711999999999996,31.902000000000015,29.824999999999996,,,
2012-07-03,30.91,31.44,30.8,31.2,31.2,8763600,31.331999999999994,31.83100000000001,30.091499999999996,,,
2012-07-05,31.32,31.63,31.02,31.47,31.47,10032100,31.179999999999996,31.818000000000005,30.3245,,,
2012-07-06,31.44,31.9,31.26,31.73,31.73,10945600,31.253999999999998,31.80700000000001,30.595500000000005,,,
2012-07-09,32.1,32.88,31.99,32.17,32.17,17785200,31.468,31.719000000000012,30.849,,,
2012-07-10,32.43,32.48,31.16,31.47,31.47,14269500,31.607999999999997,31.660000000000007,31.072000000000003,,,
2012-07-11,31.48,31.56,30.55,30.97,30.97,13030300,31.562,31.447000000000003,31.250500000000006,,,
2012-07-12,30.7,31.4,30.6,30.81,30.81,11300700,31.43,31.305,31.427500000000002,,,
2012-07-13,31.04,31.07,30.56,30.72,30.72,8108300,31.228,31.240999999999996,31.549000000000007,,,
2012-07-16,30.5,30.5,28.21,28.25,28.25,24672100,30.444000000000006,30.955999999999996,31.461000000000006,,,
2012-07-17,28.48,28.59,27.15,28.09,28.09,30438600,29.768000000000008,30.687999999999995,31.29500000000001,,,
2012-07-18,28.31,29.29,28.15,29.11,29.11,16841800,29.396000000000008,30.478999999999996,31.155000000000012,,,
2012-07-19,29.41,29.5,28.63,29.0,29.0,13685100,29.03400000000001,30.231999999999992,31.025000000000013,,,
2012-07-20,29.0,29.47,28.72,28.76,28.76,11869100,28.642000000000007,29.93499999999999,30.87100000000001,,,
2012-07-23,28.12,29.0,28.01,28.75,28.75,12390700,28.742000000000008,29.59299999999999,30.656000000000013,,,
2012-07-24,28.82,29.45,28.1,28.45,28.45,11539800,28.814000000000004,29.290999999999986,30.47550000000001,,,
2012-07-25,28.39,29.49,28.08,29.34,29.34,17230200,28.860000000000003,29.127999999999986,30.287500000000012,,,
2012-07-26,27.75,28.23,26.73,26.85,26.85,64597400,28.43,28.73199999999999,30.01850000000001,,,
2012-07-27,23.19,24.54,22.28,23.71,23.71,123102300,27.420000000000005,28.030999999999985,29.636000000000013,,,
2012-07-30,24.0,24.04,23.03,23.15,23.15,29285900,26.300000000000004,27.52099999999998,29.23850000000001,,,
2012-07-31,23.37,23.37,21.61,21.71,21.71,56179400,24.952000000000005,26.88299999999998,28.785500000000013,,,
2012-08-01,21.5,21.58,20.84,20.88,20.88,44604400,23.26000000000001,26.05999999999998,28.26950000000001,,,
2012-08-02,20.77,20.84,19.82,20.04,20.04,56374500,21.898000000000007,25.16399999999998,27.698000000000008,,,
2012-08-03,20.36,22.16,19.9,21.09,21.09,80647000,21.374000000000006,24.39699999999998,27.166000000000007,,,
2012-08-06,21.39,22.15,21.3,21.92,21.92,27778900,21.128000000000004,23.71399999999998,26.653500000000008,,,
2012-08-07,22.2,22.45,20.5,20.72,20.72,36782900,20.93,22.94099999999998,26.116000000000007,,,
2012-08-08,20.71,21.15,20.22,20.72,20.72,29537400,20.898000000000003,22.07899999999998,25.603500000000007,,,
2012-08-09,20.75,21.17,20.61,21.01,21.01,15610700,21.092000000000002,21.49499999999998,25.11350000000001,,,
2012-08-10,21.41,21.82,21.13,21.81,21.81,25794700,21.236,21.30499999999998,24.668000000000006,,,
2012-08-13,22.15,22.45,21.4,21.6,21.6,24973100,21.172,21.149999999999977,24.335500000000007,28.39083333333333,,
2012-08-14,21.41,21.6,20.25,20.38,20.38,39308800,21.104,21.016999999999975,23.95000000000001,28.09333333333333,,
2012-08-15,20.64,21.41,20.4,21.2,21.2,47861100,21.2,21.048999999999975,23.554500000000008,27.8795,,
2012-08-16,20.44,20.48,19.69,19.87,19.87,157565300,20.972,21.031999999999975,23.098000000000006,27.694,,
2012-08-17,20.01,20.08,19.0,19.05,19.05,129293400,20.419999999999998,20.827999999999978,22.612500000000008,27.478166666666663,,
2012-08-20,19.05,20.13,18.75,20.01,20.01,101186600,20.101999999999997,20.63699999999998,22.175500000000007,27.261166666666664,,
2012-08-21,19.58,19.98,19.09,19.16,19.16,70640600,19.857999999999997,20.480999999999977,21.71100000000001,27.048666666666666,,
2012-08-22,19.36,19.53,18.96,19.44,19.44,49892200,19.505999999999997,20.352999999999977,21.21600000000001,26.892,,
2012-08-23,19.5,19.73,19.36,19.44,19.44,32813700,19.419999999999995,20.195999999999977,20.84550000000001,26.746166666666667,,
2012-08-24,19.52,19.68,19.25,19.41,19.41,29622200,19.491999999999997,19.955999999999978,20.630500000000012,26.576333333333334,,
2012-08-27,19.49,19.53,19.1,19.15,19.15,20704000,19.319999999999997,19.710999999999977,20.430500000000013,26.433500000000002,,
2012-08-28,19.1,19.38,18.95,19.34,19.34,25417000,19.355999999999998,19.606999999999978,20.312000000000012,26.3075,,
2012-08-29,19.32,19.38,19.07,19.1,19.1,16124700,19.288,19.39699999999998,20.223000000000013,26.194666666666667,,
2012-08-30,19.27,19.45,19.06,19.09,19.09,30647500,19.218,19.31899999999998,20.17550000000001,26.066,,
2012-08-31,18.68,18.7,18.03,18.06,18.06,58764200,18.948,19.219999999999978,20.02400000000001,25.9285,,
2012-09-04,18.08,18.27,17.55,17.73,17.73,46622400,18.664000000000005,18.99199999999998,19.814500000000013,25.772333333333336,,
2012-09-05,18.27,18.75,18.18,18.58,18.58,60781800,18.512000000000004,18.933999999999976,19.70750000000001,25.631833333333336,,
2012-09-06,18.74,19.26,18.72,18.96,18.96,46066500,18.484,18.885999999999978,19.61950000000001,25.49116666666667,,
2012-09-07,19.1,19.42,18.78,18.98,18.98,36371700,18.462000000000003,18.83999999999998,19.51800000000001,25.353,,
2012-09-10,19.06,19.2,18.55,18.81,18.81,24797800,18.612000000000002,18.77999999999998,19.368000000000013,25.195,,
2012-09-11,18.92,19.58,18.85,19.43,19.43,50508200,18.952,18.80799999999998,19.25950000000001,25.018666666666668,,
2012-09-12,20.76,21.16,20.28,20.93,20.93,121584000,19.422,18.966999999999977,19.287000000000013,24.844,,
2012-09-13,20.96,21.48,20.61,20.71,20.71,65041600,19.772,19.12799999999998,19.26250000000001,24.657333333333334,,
2012-09-14,21.13,22.08,20.9,22.0,22.0,72819800,20.375999999999998,19.41899999999998,19.36900000000001,24.497333333333337,,
2012-09-17,22.67,22.75,21.5,21.52,21.52,50667600,20.917999999999996,19.76499999999998,19.49250000000001,24.325333333333337,,
2012-09-18,21.6,21.98,21.37,21.87,21.87,36760500,21.405999999999995,20.17899999999998,19.58550000000001,24.139000000000003,,
2012-09-19,21.99,23.37,21.77,23.29,23.29,78782800,21.877999999999993,20.649999999999984,19.79200000000001,23.992833333333337,,
2012-09-20,23.02,23.24,22.54,22.59,22.59,57248900,22.25399999999999,21.012999999999984,19.949500000000008,23.81766666666667,,
2012-09-21,22.97,23.24,22.6,22.86,22.86,51218100,22.425999999999988,21.400999999999986,20.12050000000001,23.6615,,
2012-09-24,21.78,21.98,20.36,20.79,20.79,79106500,22.279999999999987,21.598999999999982,20.18950000000001,23.485333333333337,,
2012-09-25,21.2,21.21,20.22,20.28,20.28,46291700,21.96199999999999,21.683999999999983,20.24600000000001,23.305000000000003,,
2012-09-26,20.15,20.78,19.8,20.62,20.62,38271900,21.42799999999999,21.652999999999984,20.31000000000001,23.135833333333334,,
2012-09-27,20.99,21.0,20.16,20.32,20.32,30215900,20.97399999999999,21.613999999999983,20.37100000000001,22.9545,,
2012-09-28,20.57,21.95,20.5,21.66,21.66,65486000,20.733999999999988,21.57999999999998,20.499500000000012,22.791,,
2012-10-01,22.08,22.59,21.73,21.99,21.99,51262700,20.97399999999999,21.62699999999998,20.696000000000012,22.628666666666668,,
2012-10-02,22.08,22.49,21.82,22.27,22.27,29341400,21.37199999999999,21.66699999999998,20.92300000000001,22.463666666666665,,
2012-10-03,22.3,22.49,21.8,21.83,21.83,32000100,21.613999999999987,21.520999999999983,21.08550000000001,22.302999999999997,,
2012-10-04,22.32,22.4,21.41,21.95,21.95,46892100,21.939999999999987,21.456999999999983,21.23500000000001,22.152666666666665,,
2012-10-05,21.49,21.63,20.88,20.91,20.91,40529300,21.789999999999985,21.261999999999983,21.331500000000013,21.987666666666666,,
2012-10-08,20.4,20.75,20.16,20.4,20.4,32236700,21.471999999999987,21.222999999999985,21.41100000000001,21.81566666666667,,
2012-10-09,20.39,20.55,19.97,20.23,20.23,27161800,21.06399999999999,21.217999999999982,21.45100000000001,21.682000000000002,,
2012-10-10,19.93,19.94,19.45,19.64,19.64,39321800,20.62599999999999,21.119999999999983,21.38650000000001,21.541166666666673,,
2012-10-11,19.88,19.96,19.61,19.75,19.75,21817300,20.18599999999999,21.06299999999998,21.33850000000001,21.385166666666674,,
2012-10-12,19.75,19.8,19.48,19.52,19.52,18809400,19.90799999999999,20.848999999999982,21.214500000000008,21.227166666666673,,
2012-10-15,19.68,19.88,19.49,19.52,19.52,20189700,19.73199999999999,20.601999999999983,21.11450000000001,21.073166666666673,,
2012-10-16,19.68,19.69,19.3,19.48,19.48,21834700,19.581999999999987,20.322999999999983,20.99500000000001,20.918666666666674,,
2012-10-17,19.5,20.48,19.37,19.88,19.88,44074500,19.62999999999999,20.12799999999998,20.824500000000008,20.775833333333342,,
2012-10-18,19.7,19.79,18.89,18.98,18.98,52157400,19.47599999999999,19.83099999999998,20.644000000000013,20.603166666666674,,
2012-10-19,19.0,19.06,18.8,19.0,19.0,34835000,19.37199999999999,19.63999999999998,20.45100000000001,20.472333333333342,,
2012-10-22,19.2,19.43,19.05,19.32,19.32,32447300,19.33199999999999,19.53199999999998,20.37750000000001,20.399166666666677,,
2012-10-23,19.25,19.8,19.1,19.5,19.5,78381200,19.33599999999999,19.458999999999982,20.33850000000001,20.338333333333342,,
2012-10-24,24.13,24.25,22.85,23.23,23.23,228949900,20.005999999999993,19.817999999999977,20.469000000000012,20.363666666666674,,
2012-10-25,23.29,23.31,22.47,22.56,22.56,76142000,20.72199999999999,20.09899999999998,20.58100000000001,20.39166666666667,,
2012-10-26,22.4,22.88,21.88,21.94,21.94,73175800,21.30999999999999,20.340999999999976,20.59500000000001,20.42333333333334,,
2012-10-31,20.82,21.5,20.73,21.11,21.11,99378200,21.66799999999999,20.499999999999975,20.55100000000001,20.423666666666673,,
2012-11-01,21.08,21.44,21.01,21.21,21.21,37713900,22.00999999999999,20.672999999999977,20.49800000000001,20.411833333333337,,
2012-11-02,21.26,21.69,21.07,21.18,21.18,38344400,21.59999999999999,20.802999999999976,20.465500000000013,20.419500000000006,,
2012-11-05,21.1,21.48,20.92,21.25,21.25,31806700,21.337999999999987,21.02999999999998,20.430500000000013,20.428333333333338,,
2012-11-06,21.24,21.37,20.99,21.17,21.17,29062700,21.18399999999999,21.24699999999998,20.44350000000001,20.431000000000004,,
2012-11-07,20.85,20.95,20.37,20.47,20.47,33396800,21.05599999999999,21.36199999999998,20.447000000000013,20.408666666666672,,
2012-11-08,20.52,20.73,19.98,19.99,19.99,34254600,20.81199999999999,21.41099999999998,20.435000000000013,20.381833333333343,24.386333333333322,
2012-11-09,19.96,20.0,19.13,19.21,19.21,42295500,20.41799999999999,21.008999999999983,20.413500000000013,20.362333333333343,24.227833333333322,
2012-11-12,19.15,20.17,18.87,20.07,20.07,67349200,20.181999999999988,20.759999999999984,20.42950000000001,20.343500000000006,24.11149999999999,
2012-11-13,19.61,20.11,19.56,19.86,19.86,71775100,19.919999999999987,20.551999999999982,20.446500000000015,20.34333333333334,24.018666666666658,
2012-11-14,20.1,22.5,19.93,22.36,22.36,229751000,20.297999999999988,20.676999999999982,20.588500000000018,20.398500000000006,23.938333333333325,
2012-11-15,22.34,22.5,21.65,22.17,22.17,78857700,20.733999999999988,20.772999999999982,20.723000000000017,20.434500000000007,23.847833333333323,
2012-11-16,22.25,23.93,22.18,23.56,23.56,107182200,21.603999999999992,21.01099999999998,20.907000000000018,20.507833333333338,23.778249999999993,
2012-11-19,23.96,24.12,22.82,22.92,22.92,85021300,22.17399999999999,21.17799999999998,21.104000000000017,20.565833333333337,23.728916666666656,
2012-11-20,22.73,23.9,22.7,23.1,23.1,46655300,22.82199999999999,21.37099999999998,21.30900000000002,20.626833333333334,23.686499999999988,
2012-11-21,23.22,24.53,23.05,24.32,24.32,89862400,23.21399999999999,21.75599999999998,21.55900000000002,20.708666666666666,23.64249999999999,
2012-11-23,24.58,24.68,23.88,24.0,24.0,29520900,23.579999999999988,22.15699999999998,21.784000000000017,20.789499999999997,23.611499999999992,
2012-11-26,24.94,26.09,24.81,25.94,25.94,123865000,24.05599999999999,22.829999999999977,21.919500000000017,20.8995,23.603499999999993,
2012-11-27,26.04,26.5,25.46,26.15,26.15,85760600,24.70199999999999,23.43799999999998,22.099000000000014,21.017000000000003,23.60583333333333,
2012-11-28,25.94,26.49,25.75,26.36,26.36,49205600,25.353999999999992,24.087999999999976,22.320000000000014,21.13816666666667,23.60208333333333,
2012-11-29,26.5,27.52,26.16,27.32,27.32,88759700,25.95399999999999,24.583999999999975,22.630500000000016,21.292500000000004,23.6105,
2012-11-30,27.26,28.0,26.76,28.0,28.0,127049600,26.75399999999999,25.166999999999973,22.970000000000017,21.46366666666667,23.618,
2012-12-03,28.0,28.88,26.98,27.04,27.04,123526100,26.97399999999999,25.514999999999976,23.263000000000016,21.60466666666667,23.618249999999996,
2012-12-04,27.06,27.76,26.68,27.46,27.46,72869200,27.23599999999999,25.968999999999973,23.573500000000017,21.746333333333336,23.618749999999995,
2012-12-05,27.75,27.9,27.26,27.71,27.71,58976300,27.505999999999993,26.429999999999968,23.900500000000015,21.891833333333338,23.622416666666663,
