Date,Open,High,Low,Close,Adj Close,Volume,MA4,MA8
2012-05-14,42.05,45.0,38.0,38.23,38.23,573576400,,
2012-05-21,36.53,36.66,30.94,31.91,31.91,430966300,,
2012-05-28,31.48,31.69,26.83,27.72,27.72,288826000,,
2012-06-04,27.2,27.76,25.52,27.1,27.1,203386400,31.240000000000002,
2012-06-11,27.18,30.1,26.84,30.01,30.01,121558000,29.185000000000002,
2012-06-18,29.96,33.45,29.41,33.05,33.05,186090800,29.470000000000006,
2012-06-25,32.86,33.44,30.76,31.1,31.1,115019800,30.315000000000005,
2012-07-02,31.25,31.9,30.55,31.73,31.73,43863300,31.472500000000004,31.356249999999996
2012-07-09,32.1,32.88,30.55,30.72,30.72,64494000,31.650000000000002,30.417499999999993
2012-07-16,30.5,30.5,27.15,28.76,28.76,97506700,30.577500000000004,30.023749999999996
2012-07-23,28.12,29.49,22.28,23.71,23.71,228860400,28.730000000000004,29.522499999999997
2012-07-30,24.0,24.04,19.82,21.09,21.09,267091200,26.070000000000004,28.77125
2012-08-06,21.39,22.45,20.22,21.81,21.81,135504600,23.842500000000005,27.74625
2012-08-13,22.15,22.45,19.0,19.05,19.05,399001700,21.415000000000003,25.996250000000003
2012-08-20,19.05,20.13,18.75,19.41,19.41,284155300,20.340000000000003,24.535000000000004
2012-08-27,19.49,19.53,18.03,18.06,18.06,151657400,19.582500000000003,22.826250000000005
2012-09-03,18.08,19.42,17.55,18.98,18.98,189842400,18.875000000000004,21.358750000000004
2012-09-10,19.06,22.08,18.55,22.0,22.0,334751400,19.612500000000004,20.513750000000005
2012-09-17,22.67,23.37,21.37,22.86,22.86,274677900,20.475000000000005,20.407500000000002
2012-09-24,21.78,21.98,19.8,21.66,21.66,259372000,21.375000000000004,20.47875
2012-10-01,22.08,22.59,20.88,20.91,20.91,200025600,21.8575,20.36625
2012-10-08,20.4,20.75,19.45,19.52,19.52,139347000,21.2375,20.425
2012-10-15,19.68,20.48,18.8,19.0,19.0,173091300,20.2725,20.37375
2012-10-22,19.2,24.25,19.05,21.94,21.94,489096200,20.3425,20.85875
2012-10-29,20.82,21.69,20.73,21.18,21.18,175436500,20.410000000000004,21.133750000000003
2012-11-05,21.1,21.48,19.13,19.21,19.21,170816300,20.332500000000007,20.785000000000004
2012-11-12,19.15,23.93,18.87,23.56,23.56,554915200,21.472500000000007,20.872500000000002
2012-11-19,23.96,24.68,22.7,24.0,24.0,251059900,21.987500000000008,21.165000000000003
2012-11-26,24.94,28.0,24.81,28.0,28.0,474640500,23.69250000000001,22.051250000000003
2012-12-03,28.0,28.88,26.68,27.49,27.49,353125000,25.76250000000001,23.047500000000003
2012-12-10,27.17,28.75,26.76,26.81,26.81,347095000,26.57500000000001,24.023750000000003
2012-12-17,26.77,28.22,26.12,26.26,26.26,269775700,27.140000000000008,24.563750000000002
2012-12-24,26.5,27.18,25.15,25.91,25.91,161462000,26.617500000000007,25.155
2012-12-31,26.2,28.93,26.11,28.76,28.76,266076900,26.935000000000006,26.34875
2013-01-07,28.69,31.96,28.65,31.72,31.72,419355200,28.16250000000001,27.36875
2013-01-14,32.08,32.21,29.27,29.66,29.66,437356300,29.012500000000006,28.076249999999998
2013-01-21,29.75,31.93,29.74,31.54,31.54,202351800,30.42000000000001,28.518749999999997
2013-01-28,31.88,32.51,28.74,29.73,29.73,496942700,30.662500000000005,28.79875
2013-02-04,29.06,29.29,28.01,28.55,28.55,250935200,29.870000000000005,29.01625
2013-02-11,28.61,28.75,27.1,28.32,28.32,249749600,29.535000000000004,29.27375
2013-02-18,28.23,29.08,26.82,27.13,27.13,177487100,28.432500000000005,29.42625
2013-02-25,27.16,28.12,26.34,27.78,27.78,247676000,27.945000000000004,29.30375
2013-03-04,27.76,28.68,27.21,27.96,27.96,225294600,27.797500000000003,28.83375
2013-03-11,28.01,28.64,26.56,26.65,26.65,162075000,27.380000000000003,28.4575
2013-03-18,26.37,26.9,25.56,25.73,25.73,138706800,27.03,27.73125
2013-03-25,25.75,26.28,24.72,25.58,25.58,147039300,26.479999999999997,27.212500000000002
2013-04-01,25.63,27.8,25.28,27.39,27.39,252181200,26.3375,27.067500000000003
2013-04-08,27.19,28.1,26.42,27.4,27.4,156582400,26.525,26.952500000000004
2013-04-15,27.16,27.48,25.15,25.73,25.73,143521800,26.524999999999995,26.777500000000003
2013-04-22,25.81,27.62,25.7,26.85,26.85,120777000,26.842499999999998,26.661250000000003
2013-04-29,27.16,29.07,26.86,28.31,28.31,292777800,27.072499999999994,26.705000000000002
2013-05-06,28.33,28.46,26.57,26.68,26.68,184157700,26.89249999999999,26.708750000000002
2013-05-13,26.6,27.33,25.9,26.25,26.25,149260700,27.02249999999999,26.773750000000003
2013-05-20,26.18,26.19,24.08,24.31,24.31,210369700,26.38749999999999,26.615000000000002
2013-05-27,24.54,24.95,23.26,24.35,24.35,210975700,25.397499999999987,26.235
2013-06-03,24.27,24.32,22.67,23.29,23.29,194274200,24.549999999999983,25.721249999999998
2013-06-10,24.06,24.6,23.26,23.63,23.63,176591100,23.894999999999982,25.45875
2013-06-17,23.91,25.19,23.65,24.53,24.53,190763700,23.94999999999998,25.16875
2013-06-24,23.95,24.98,23.38,24.88,24.88,226702500,24.082499999999982,24.74
2013-07-01,24.97,25.06,24.15,24.37,24.37,69610200,24.352499999999985,24.451249999999998
2013-07-08,24.47,26.0,24.42,25.91,25.91,127489600,24.922499999999985,24.408749999999998
2013-07-15,25.93,26.78,25.6,25.88,25.88,147916700,25.259999999999984,24.604999999999997
2013-07-22,25.99,34.88,25.72,34.01,34.01,639870300,27.542499999999983,25.812499999999996
2013-07-29,34.07,38.49,34.01,38.05,38.05,632255300,30.962499999999977,27.657499999999995
2013-08-05,38.43,39.32,37.7,38.5,38.5,297633700,34.10999999999998,29.51625
2013-08-12,38.2,38.5,36.02,37.08,37.08,247326000,36.90999999999998,31.084999999999997
2013-08-19,37.43,40.63,37.14,40.55,40.55,270095200,38.54499999999999,33.043749999999996
2013-08-26,40.9,42.26,39.42,41.29,41.29,350814200,39.35499999999999,35.15875
2013-09-02,41.84,44.61,41.44,43.95,43.95,258927900,40.71749999999999,37.41374999999999
2013-09-09,44.36,45.62,43.11,44.31,44.31,323500900,42.52499999999999,39.717499999999994
2013-09-16,44.85,47.6,42.43,47.49,47.49,421156600,44.25999999999999,41.402499999999996
2013-09-23,47.28,51.28,46.29,51.24,51.24,479403400,46.747499999999995,43.051249999999996
2013-09-30,50.14,51.6,49.06,51.04,51.04,417535000,48.519999999999996,44.61875
2013-10-07,50.73,51.29,45.26,49.11,49.11,498784000,49.72,46.1225
